#! res.bias res.work
1602.500000 135.965820 0.004400
1605.000000 133.248655 0.000947
1607.500000 132.574520 0.008180
1610.000000 134.487581 0.008133
1612.500000 137.180129 0.003856
1615.000000 131.192500 0.003290
1617.500000 131.252568 0.003514
1620.000000 133.260560 0.005689
1622.500000 130.317753 0.001794
1625.000000 130.967056 0.000734
1627.500000 134.863557 0.000379
1630.000000 135.963139 0.000127
1632.500000 137.129635 0.000201
1635.000000 138.059678 0.000234
1637.500000 135.393489 0.000708
1640.000000 136.394817 0.000743
1642.500000 138.261203 0.004035
1645.000000 142.965897 0.003278
1647.500000 142.800751 0.002492
1650.000000 142.231585 0.001006
1652.500000 142.029171 0.001275
1655.000000 140.081209 0.000903
1657.500000 142.903142 0.005523
1660.000000 143.437740 0.001344
1662.500000 141.251499 0.012620
1665.000000 141.832133 0.002558
1667.500000 144.506680 0.000755
1670.000000 146.210416 0.006797
1672.500000 145.204736 0.000421
1675.000000 143.549745 0.006503
1677.500000 145.708663 0.002121
1680.000000 146.511855 0.000624
1682.500000 144.484543 0.000709
1685.000000 146.809932 0.000604
1687.500000 148.584824 0.000568
1690.000000 143.839799 0.000345
1692.500000 142.336952 0.000623
1695.000000 140.536598 0.000420
1697.500000 140.420108 0.000190
1700.000000 143.342109 0.000176
1702.500000 142.720520 0.000097
1705.000000 142.446418 0.000268
1707.500000 142.915782 0.000256
1710.000000 141.570666 0.000328
1712.500000 142.756800 0.001069
1715.000000 140.858007 0.003935
1717.500000 142.419596 0.007340
1720.000000 143.616531 0.002241
1722.500000 144.375797 0.000308
1725.000000 145.180726 0.000219
1727.500000 149.613340 0.001766
1730.000000 151.692106 0.000582
1732.500000 149.401299 0.000156
1735.000000 151.083493 0.000349
1737.500000 151.111879 0.000209
1740.000000 151.554994 0.000391
1742.500000 149.089579 0.000707
1745.000000 149.282381 0.001223
1747.500000 150.176310 0.001791
1750.000000 151.621115 0.001106
1752.500000 154.348329 0.002359
1755.000000 153.685873 0.000799
1757.500000 154.695262 0.000211
1760.000000 154.746280 0.000095
1762.500000 153.476857 0.000772
1765.000000 155.393527 0.000897
1767.500000 156.919311 0.001331
1770.000000 152.855274 0.000065
1772.500000 156.265127 0.000821
1775.000000 153.752512 0.000304
1777.500000 153.590792 0.000336
1780.000000 152.331629 0.000088
1782.500000 150.623952 0.000102
1785.000000 152.511431 0.000676
1787.500000 151.621424 0.007703
1790.000000 150.174781 0.004588
1792.500000 148.843733 0.009278
1795.000000 148.503235 0.006201
1797.500000 151.890375 0.008387
1800.000000 148.912124 0.002540
1802.500000 153.523323 0.001267
1805.000000 152.717546 0.000510
1807.500000 152.253544 0.002581
1810.000000 153.581871 0.000593
1812.500000 150.510970 0.001251
1815.000000 152.969603 0.000646
1817.500000 153.634948 0.000550
1820.000000 151.533737 0.003365
1822.500000 152.815188 0.015864
1825.000000 149.437765 0.000838
1827.500000 150.516533 0.000099
1830.000000 150.826274 0.000088
1832.500000 152.880414 0.000650
1835.000000 152.292758 0.002589
1837.500000 153.422469 0.000860
1840.000000 154.756389 0.000927
1842.500000 153.856703 0.001567
1845.000000 151.264564 0.001068
1847.500000 150.883854 0.001162
1850.000000 153.489812 0.029465
1852.500000 153.694993 0.022332
1855.000000 154.849448 0.001720
1857.500000 157.987538 0.001151
1860.000000 157.766083 0.000586
1862.500000 158.852781 0.000779
1865.000000 159.422747 0.000722
1867.500000 161.057103 0.000767
1870.000000 157.584176 0.001207
1872.500000 156.774688 0.000267
1875.000000 158.766421 0.000741
1877.500000 163.029604 0.000746
1880.000000 164.169160 0.017521
1882.500000 161.075731 0.004595
1885.000000 163.573632 0.001245
1887.500000 165.575067 0.000945
1890.000000 169.442684 0.000087
1892.500000 172.100114 0.000115
1895.000000 170.808471 0.000476
1897.500000 168.362170 0.000781
1900.000000 168.027860 0.003952
1902.500000 169.930437 0.003179
1905.000000 169.748540 0.008478
1907.500000 166.633208 0.001911
1910.000000 164.919370 0.000193
1912.500000 167.237595 0.000382
1915.000000 169.601785 0.000401
1917.500000 168.877784 0.000719
1920.000000 170.900136 0.000647
1922.500000 170.171558 0.000418
1925.000000 168.759467 0.000308
1927.500000 174.021825 0.000404
1930.000000 175.196050 0.000210
1932.500000 171.774376 0.000167
1935.000000 175.497826 0.000994
1937.500000 176.402060 0.000996
1940.000000 177.281435 0.000506
1942.500000 178.328957 0.000131
1945.000000 179.327906 0.000523
1947.500000 176.430506 0.001208
1950.000000 175.238749 0.000166
1952.500000 174.991337 0.000314
1955.000000 176.510166 0.000313
